拍,时间ms,附加FF_mA,位置um,速度mm_s
1,0.125,0.0,-0.011672278338945007,-0.2801346801346802
2,0.25,0.0,-0.09337822671156006,-1.1205387205387207
3,0.375,0.0,-0.3151515151515152,-2.521212121212122
4,0.5,0.0,-0.7353535353535355,-4.202020202020203
5,0.625,0.0,-1.3656565656565658,-5.882828282828284
6,0.75,0.0,-2.206060606060607,-7.563636363636365
7,0.875,0.0,-3.256565656565657,-9.244444444444447
8,1.0,0.0,-4.517171717171718,-10.925252525252528
9,1.125,0.0,-5.987878787878789,-12.606060606060609
10,1.25,0.0,-7.657014590347925,-14.00673400673401
11,1.375,0.0,-9.4662177328844,-14.847138047138051
12,1.5,0.0,-11.345454545454547,-15.12727272727273
13,1.625,0.0,-13.23636363636364,-15.12727272727273
14,1.75,0.0,-15.12727272727273,-15.12727272727273
15,1.875,0.0,-17.018181818181823,-15.12727272727273
16,2.0,0.0,-18.909090909090914,-15.12727272727273
17,2.125,0.2574920654296875,-20.797081930415267,-15.05723905723906
18,2.25,1.6748046875,-22.667564534231207,-14.847138047138051
19,2.375,4.5256805419921875,-24.503030303030307,-14.4969696969697
20,2.5,8.4375,-26.285970819304158,-14.00673400673401
21,2.625,12.693405151367188,-27.99887766554434,-13.37643097643098
22,2.75,16.4794921875,-29.624242424242432,-12.606060606060609
23,2.875,19.07707214355469,-31.147474747474753,-11.765656565656569
24,3.0,20.0,-32.565656565656575,-10.925252525252528
25,3.125,19.07707214355469,-33.87878787878789,-10.084848484848488
26,3.25,16.4794921875,-35.08686868686869,-9.244444444444447
27,3.375,12.693405151367188,-36.189898989899,-8.404040404040407
28,3.5,8.4375,-37.187878787878795,-7.563636363636365
29,3.625,4.5256805419921875,-38.08080808080809,-6.723232323232325
30,3.75,1.6748046875,-38.86868686868688,-5.882828282828284
31,3.875,0.2574920654296875,-39.55151515151516,-5.042424242424244
32,4.0,0.0,-40.12929292929294,-4.202020202020203
33,4.125,0.0,-40.602020202020206,-3.3616161616161624
34,4.25,0.0,-40.96969696969698,-2.521212121212122
35,4.375,0.0,-41.235241301907976,-1.7508417508417513
36,4.5,0.0,-41.41324354657689,-1.1205387205387207
37,4.625,0.0,-41.52121212121213,-0.6303030303030305
38,4.75,0.0,-41.57665544332212,-0.2801346801346802
39,4.875,0.0,-41.59708193041527,-0.07003367003367005
40,5.0,0.0,-41.60000000000001,0.0
