t_ms,run1_endpoint_error_um,run2_endpoint_error_um,run3_endpoint_error_um,run4_endpoint_error_um,run5_endpoint_error_um,run6_endpoint_error_um,mean_error_um,run1_leave_one_out_residual_um,run2_leave_one_out_residual_um,run3_leave_one_out_residual_um,run4_leave_one_out_residual_um,run5_leave_one_out_residual_um,run6_leave_one_out_residual_um
5.0,1.6999999999999957,1.6000000000000014,1.6999999999999957,1.5,1.6000000000000014,1.6000000000000014,1.616666666666666,0.09999999999999565,-0.019999999999997353,0.09999999999999565,-0.13999999999999924,-0.019999999999997353,-0.019999999999997353
5.125,1.5,1.5,1.6000000000000014,1.3999999999999986,1.3999999999999986,1.5,1.4833333333333332,0.02000000000000024,0.02000000000000024,0.1400000000000019,-0.10000000000000142,-0.10000000000000142,0.02000000000000024
5.25,1.2999999999999972,1.2999999999999972,1.3999999999999986,1.1000000000000014,1.1999999999999957,1.2999999999999972,1.2666666666666646,0.03999999999999915,0.03999999999999915,0.1600000000000008,-0.19999999999999574,-0.08000000000000251,0.03999999999999915
5.375,1.0,1.0,1.1000000000000014,0.7999999999999972,0.8999999999999915,1.0,0.966666666666665,0.040000000000002034,0.040000000000002034,0.1600000000000037,-0.2000000000000014,-0.08000000000000829,0.040000000000002034
5.5,0.6000000000000014,0.6000000000000014,0.6999999999999957,0.3999999999999915,0.5,0.6000000000000014,0.5666666666666652,0.040000000000003366,0.040000000000003366,0.1599999999999966,-0.2000000000000085,-0.0799999999999983,0.040000000000003366
5.625,0.19999999999999574,0.10000000000000142,0.19999999999999574,0.0,0.0,0.10000000000000142,0.09999999999999905,0.11999999999999603,2.8449465006019636e-15,0.11999999999999603,-0.11999999999999886,-0.11999999999999886,2.8449465006019636e-15
5.75,-0.30000000000000426,-0.3999999999999986,-0.20000000000000284,-0.5000000000000071,-0.5000000000000071,-0.30000000000000426,-0.3666666666666707,0.07999999999999974,-0.039999999999993485,0.2000000000000014,-0.1600000000000037,-0.1600000000000037,0.07999999999999974
5.875,-0.8000000000000043,-0.8999999999999986,-0.8000000000000043,-1.000000000000007,-1.000000000000007,-0.8999999999999986,-0.9000000000000034,0.11999999999999889,5.662137425588298e-15,0.11999999999999889,-0.12000000000000455,-0.12000000000000455,5.662137425588298e-15
6.0,-1.3999999999999986,-1.3999999999999986,-1.3000000000000043,-1.500000000000007,-1.500000000000007,-1.3999999999999986,-1.416666666666669,0.02000000000000446,0.02000000000000446,0.13999999999999768,-0.10000000000000564,-0.10000000000000564,0.02000000000000446
6.125,-1.9000000000000057,-2.000000000000007,-1.7999999999999972,-2.000000000000007,-2.000000000000007,-2.000000000000007,-1.9500000000000053,0.05999999999999939,-0.060000000000002274,0.1800000000000097,-0.060000000000002274,-0.060000000000002274,-0.060000000000002274
6.25,-2.4000000000000057,-2.500000000000007,-2.4000000000000057,-2.500000000000007,-2.6000000000000014,-2.500000000000007,-2.483333333333339,0.10000000000000009,-0.020000000000001794,0.10000000000000009,-0.020000000000001794,-0.1399999999999948,-0.020000000000001794
6.375,-3.000000000000007,-3.000000000000007,-2.9000000000000057,-3.000000000000007,-3.1000000000000014,-3.000000000000007,-3.0000000000000058,-1.3322676295501878e-15,-1.3322676295501878e-15,0.1200000000000001,-1.3322676295501878e-15,-0.11999999999999478,-1.3322676295501878e-15
6.5,-3.5,-3.5,-3.4000000000000057,-3.5,-3.6000000000000014,-3.5,-3.5000000000000013,1.3322676295501878e-15,1.3322676295501878e-15,0.11999999999999478,1.3322676295501878e-15,-0.1200000000000001,1.3322676295501878e-15
6.625,-3.9000000000000057,-4.0,-3.9000000000000057,-4.0,-4.0,-4.0,-3.9666666666666686,0.07999999999999563,-0.039999999999997815,0.07999999999999563,-0.039999999999997815,-0.039999999999997815,-0.039999999999997815
6.75,-4.300000000000004,-4.400000000000006,-4.300000000000004,-4.400000000000006,-4.5,-4.400000000000006,-4.383333333333337,0.09999999999999964,-0.02000000000000135,0.09999999999999964,-0.02000000000000135,-0.13999999999999524,-0.02000000000000135
6.875,-4.600000000000001,-4.700000000000003,-4.700000000000003,-4.700000000000003,-4.800000000000004,-4.700000000000003,-4.700000000000003,0.12000000000000188,0.0,0.0,0.0,-0.12000000000000188,0.0
7.0,-4.900000000000006,-5.0,-4.900000000000006,-5.0,-5.0,-5.0,-4.966666666666669,0.07999999999999563,-0.03999999999999737,0.07999999999999563,-0.03999999999999737,-0.03999999999999737,-0.03999999999999737
7.125,-5.100000000000001,-5.200000000000003,-5.200000000000003,-5.200000000000003,-5.200000000000003,-5.200000000000003,-5.183333333333336,0.10000000000000142,-0.020000000000000462,-0.020000000000000462,-0.020000000000000462,-0.020000000000000462,-0.020000000000000462
7.25,-5.200000000000003,-5.300000000000004,-5.300000000000004,-5.300000000000004,-5.400000000000006,-5.400000000000006,-5.316666666666671,0.14000000000000234,0.020000000000000462,0.020000000000000462,0.020000000000000462,-0.10000000000000142,-0.10000000000000142
7.375,-5.300000000000004,-5.400000000000006,-5.400000000000006,-5.400000000000006,-5.400000000000006,-5.400000000000006,-5.383333333333339,0.10000000000000142,-0.020000000000000462,-0.020000000000000462,-0.020000000000000462,-0.020000000000000462,-0.020000000000000462
7.5,-5.300000000000004,-5.400000000000006,-5.400000000000006,-5.400000000000006,-5.400000000000006,-5.400000000000006,-5.383333333333339,0.10000000000000142,-0.020000000000000462,-0.020000000000000462,-0.020000000000000462,-0.020000000000000462,-0.020000000000000462
7.625,-5.200000000000003,-5.300000000000004,-5.400000000000006,-5.300000000000004,-5.300000000000004,-5.400000000000006,-5.316666666666671,0.14000000000000234,0.020000000000000462,-0.10000000000000142,0.020000000000000462,0.020000000000000462,-0.10000000000000142
7.75,-5.100000000000001,-5.100000000000001,-5.300000000000004,-5.200000000000003,-5.200000000000003,-5.200000000000003,-5.183333333333336,0.10000000000000142,0.10000000000000142,-0.14000000000000234,-0.020000000000000462,-0.020000000000000462,-0.020000000000000462
7.875,-4.900000000000006,-4.900000000000006,-5.100000000000001,-5.0,-5.0,-5.0,-4.983333333333335,0.09999999999999609,0.09999999999999609,-0.1399999999999988,-0.019999999999997797,-0.019999999999997797,-0.019999999999997797
8.0,-4.600000000000001,-4.700000000000003,-4.800000000000004,-4.700000000000003,-4.700000000000003,-4.700000000000003,-4.700000000000003,0.12000000000000188,0.0,-0.12000000000000188,0.0,0.0,0.0
8.125,-4.300000000000004,-4.300000000000004,-4.5,-4.400000000000006,-4.400000000000006,-4.400000000000006,-4.383333333333337,0.09999999999999964,0.09999999999999964,-0.13999999999999524,-0.02000000000000135,-0.02000000000000135,-0.02000000000000135
8.25,-3.9000000000000057,-4.0,-4.200000000000003,-4.100000000000001,-4.0,-4.100000000000001,-4.050000000000002,0.17999999999999527,0.060000000000002274,-0.1800000000000015,-0.05999999999999961,0.060000000000002274,-0.05999999999999961
8.375,-3.6000000000000014,-3.6000000000000014,-3.8000000000000043,-3.8000000000000043,-3.700000000000003,-3.700000000000003,-3.700000000000003,0.12000000000000188,0.12000000000000188,-0.12000000000000188,-0.12000000000000188,0.0,0.0
8.5,-3.200000000000003,-3.200000000000003,-3.4000000000000057,-3.4000000000000057,-3.3000000000000043,-3.3000000000000043,-3.3000000000000043,0.12000000000000188,0.12000000000000188,-0.12000000000000188,-0.12000000000000188,0.0,0.0
8.625,-2.799999999999997,-2.799999999999997,-3.000000000000007,-3.000000000000007,-2.9000000000000057,-2.9000000000000057,-2.9000000000000035,0.12000000000000721,0.12000000000000721,-0.12000000000000455,-0.12000000000000455,-2.6645352591003757e-15,-2.6645352591003757e-15
8.75,-2.4000000000000057,-2.4000000000000057,-2.6000000000000014,-2.500000000000007,-2.500000000000007,-2.500000000000007,-2.483333333333339,0.10000000000000009,0.10000000000000009,-0.1399999999999948,-0.020000000000001794,-0.020000000000001794,-0.020000000000001794
8.875,-1.9000000000000057,-2.000000000000007,-2.200000000000003,-2.1000000000000014,-2.000000000000007,-2.1000000000000014,-2.0500000000000043,0.17999999999999838,0.0599999999999965,-0.17999999999999838,-0.0599999999999965,0.0599999999999965,-0.0599999999999965
9.0,-1.6000000000000014,-1.6000000000000014,-1.7000000000000028,-1.7000000000000028,-1.6000000000000014,-1.6000000000000014,-1.6333333333333353,0.04000000000000048,0.04000000000000048,-0.08000000000000118,-0.08000000000000118,0.04000000000000048,0.04000000000000048
9.125,-1.1000000000000014,-1.1000000000000014,-1.3000000000000043,-1.3000000000000043,-1.2000000000000028,-1.2000000000000028,-1.2000000000000028,0.12000000000000166,0.12000000000000166,-0.12000000000000166,-0.12000000000000166,0.0,0.0
9.25,-0.8000000000000043,-0.8000000000000043,-0.8999999999999986,-0.8999999999999986,-0.8000000000000043,-0.8999999999999986,-0.8500000000000014,0.05999999999999661,0.05999999999999661,-0.05999999999999661,-0.05999999999999661,0.05999999999999661,-0.05999999999999661
9.375,-0.3999999999999986,-0.3999999999999986,-0.5000000000000071,-0.6000000000000014,-0.5000000000000071,-0.5000000000000071,-0.48333333333333667,0.10000000000000564,0.10000000000000564,-0.02000000000000457,-0.13999999999999774,-0.02000000000000457,-0.02000000000000457
9.5,-0.10000000000000142,-0.10000000000000142,-0.20000000000000284,-0.20000000000000284,-0.20000000000000284,-0.20000000000000284,-0.16666666666666904,0.08000000000000113,0.08000000000000113,-0.04000000000000056,-0.04000000000000056,-0.04000000000000056,-0.04000000000000056
9.625,0.19999999999999574,0.19999999999999574,0.10000000000000142,0.0,0.10000000000000142,0.10000000000000142,0.11666666666666596,0.09999999999999573,0.09999999999999573,-0.019999999999997436,-0.13999999999999915,-0.019999999999997436,-0.019999999999997436
9.75,0.3999999999999915,0.3999999999999915,0.3999999999999915,0.29999999999999716,0.29999999999999716,0.3999999999999915,0.36666666666666003,0.039999999999997704,0.039999999999997704,0.039999999999997704,-0.07999999999999546,-0.07999999999999546,0.039999999999997704
9.875,0.6000000000000014,0.6000000000000014,0.6000000000000014,0.5,0.5,0.6000000000000014,0.5666666666666677,0.04000000000000059,0.04000000000000059,0.04000000000000059,-0.08000000000000118,-0.08000000000000118,0.04000000000000059
10.0,0.7999999999999972,0.7999999999999972,0.7999999999999972,0.6000000000000014,0.6999999999999957,0.6999999999999957,0.7333333333333307,0.07999999999999974,0.07999999999999974,0.07999999999999974,-0.15999999999999515,-0.040000000000002034,-0.040000000000002034
10.125,0.7999999999999972,0.8999999999999915,0.8999999999999915,0.6999999999999957,0.7999999999999972,0.7999999999999972,0.8166666666666617,-0.019999999999997464,0.09999999999999576,0.09999999999999576,-0.13999999999999913,-0.019999999999997464,-0.019999999999997464
10.25,0.8999999999999915,0.8999999999999915,0.8999999999999915,0.7999999999999972,0.7999999999999972,0.7999999999999972,0.8499999999999943,0.05999999999999661,0.05999999999999661,0.05999999999999661,-0.05999999999999661,-0.05999999999999661,-0.05999999999999661
10.375,0.8999999999999915,0.8999999999999915,1.0,0.7999999999999972,0.7999999999999972,0.8999999999999915,0.8833333333333281,0.01999999999999602,0.01999999999999602,0.14000000000000623,-0.0999999999999972,-0.0999999999999972,0.01999999999999602
10.5,0.8999999999999915,0.8999999999999915,0.8999999999999915,0.7999999999999972,0.7999999999999972,0.7999999999999972,0.8499999999999943,0.05999999999999661,0.05999999999999661,0.05999999999999661,-0.05999999999999661,-0.05999999999999661,-0.05999999999999661
10.625,0.7999999999999972,0.7999999999999972,0.8999999999999915,0.6999999999999957,0.6999999999999957,0.7999999999999972,0.7833333333333291,0.020000000000001683,0.020000000000001683,0.1399999999999949,-0.09999999999999998,-0.09999999999999998,0.020000000000001683
10.75,0.6999999999999957,0.6999999999999957,0.7999999999999972,0.6000000000000014,0.6000000000000014,0.6999999999999957,0.6833333333333312,0.019999999999997464,0.019999999999997464,0.13999999999999913,-0.09999999999999576,-0.09999999999999576,0.019999999999997464
10.875,0.6000000000000014,0.5,0.6999999999999957,0.5,0.5,0.5,0.5499999999999995,0.060000000000002274,-0.05999999999999939,0.1799999999999955,-0.05999999999999939,-0.05999999999999939,-0.05999999999999939
11.0,0.5,0.3999999999999915,0.5,0.3999999999999915,0.29999999999999716,0.3999999999999915,0.4166666666666619,0.1000000000000057,-0.02000000000000457,0.1000000000000057,-0.02000000000000457,-0.13999999999999774,-0.02000000000000457
11.125,0.29999999999999716,0.19999999999999574,0.3999999999999915,0.19999999999999574,0.19999999999999574,0.19999999999999574,0.24999999999999525,0.060000000000002274,-0.05999999999999944,0.17999999999999544,-0.05999999999999944,-0.05999999999999944,-0.05999999999999944
11.25,0.10000000000000142,0.0,0.19999999999999574,0.0,0.0,0.0,0.049999999999999524,0.060000000000002274,-0.05999999999999943,0.17999999999999544,-0.05999999999999943,-0.05999999999999943,-0.05999999999999943
11.375,0.0,-0.20000000000000284,0.0,-0.20000000000000284,-0.20000000000000284,-0.10000000000000142,-0.11666666666666832,0.14000000000000198,-0.10000000000000142,0.14000000000000198,-0.10000000000000142,-0.10000000000000142,0.02000000000000028
11.5,-0.30000000000000426,-0.3999999999999986,-0.30000000000000426,-0.3999999999999986,-0.3999999999999986,-0.3999999999999986,-0.36666666666666714,0.07999999999999546,-0.039999999999997704,0.07999999999999546,-0.039999999999997704,-0.039999999999997704,-0.039999999999997704
11.625,-0.5000000000000071,-0.6000000000000014,-0.5000000000000071,-0.6000000000000014,-0.7000000000000028,-0.6000000000000014,-0.5833333333333369,0.09999999999999576,-0.019999999999997464,0.09999999999999576,-0.019999999999997464,-0.13999999999999913,-0.019999999999997464
