tick,time_ms,A_raw_relative_um,P_raw_relative_um,M_raw_relative_um,A_velocity_mm_s,P_velocity_mm_s,M_velocity_mm_s
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.125,-0.011672278338945007,-0.011672278338945007,-0.011672278338945007,-0.2801346801346802,-0.2801346801346802,-0.2801346801346802
2,0.25,-0.09337822671156006,-0.09337822671156006,-0.09337822671156006,-1.1205387205387207,-1.1205387205387207,-1.1205387205387207
3,0.375,-0.3151515151515152,-0.3151515151515152,-0.3151515151515152,-2.521212121212122,-2.521212121212122,-2.521212121212122
4,0.5,-0.7353535353535355,-0.7353535353535355,-0.7353535353535355,-4.202020202020203,-4.202020202020203,-4.202020202020203
5,0.625,-1.3656565656565658,-1.3656565656565658,-1.3656565656565658,-5.882828282828284,-5.882828282828284,-5.882828282828284
6,0.75,-2.206060606060607,-2.206060606060607,-2.206060606060607,-7.563636363636365,-7.563636363636365,-7.563636363636365
7,0.875,-3.256565656565657,-3.256565656565657,-3.256565656565657,-9.244444444444447,-9.244444444444447,-9.244444444444447
8,1.0,-4.517171717171718,-4.517171717171718,-4.517171717171718,-10.925252525252528,-10.925252525252528,-10.925252525252528
9,1.125,-5.987878787878789,-5.987878787878789,-5.987878787878789,-12.606060606060609,-12.606060606060609,-12.606060606060609
10,1.25,-7.657014590347925,-7.657014590347925,-7.657014590347925,-14.00673400673401,-14.00673400673401,-14.00673400673401
11,1.375,-9.4662177328844,-9.4662177328844,-9.4662177328844,-14.847138047138051,-14.847138047138051,-14.847138047138051
12,1.5,-11.345454545454547,-11.345454545454547,-11.345454545454547,-15.12727272727273,-15.12727272727273,-15.12727272727273
13,1.625,-13.23636363636364,-13.23636363636364,-13.23636363636364,-15.12727272727273,-15.12727272727273,-15.12727272727273
14,1.75,-15.12727272727273,-15.12727272727273,-15.12727272727273,-15.12727272727273,-15.12727272727273,-15.12727272727273
15,1.875,-17.018181818181823,-17.018181818181823,-17.018181818181823,-15.12727272727273,-15.12727272727273,-15.12727272727273
16,2.0,-18.909090909090914,-18.909090909090914,-18.909090909090914,-15.12727272727273,-15.12727272727273,-15.12727272727273
17,2.125,-20.797081930415267,-20.795128805415267,-20.799035055415267,-15.05723905723906,-15.01036405723906,-15.10411405723906
18,2.25,-22.667564534231207,-22.651939534231207,-22.683189534231207,-14.847138047138051,-14.659638047138051,-15.034638047138051
19,2.375,-24.503030303030307,-24.450295928030307,-24.555764678030307,-14.4969696969697,-14.0750946969697,-14.9188446969697
20,2.5,-26.285970819304158,-26.160970819304158,-26.410970819304158,-14.00673400673401,-13.25673400673401,-14.75673400673401
21,2.625,-27.99887766554434,-27.76254954054434,-28.23520579054434,-13.37643097643098,-12.39205597643098,-14.36080597643098
22,2.75,-29.624242424242432,-29.264867424242432,-29.983617424242432,-12.606060606060609,-11.668560606060609,-13.543560606060609
23,2.875,-31.147474747474753,-30.688490372474753,-31.606459122474753,-11.765656565656569,-11.156281565656569,-12.375031565656569
24,3.0,-32.565656565656575,-32.065656565656575,-33.065656565656575,-10.925252525252528,-10.925252525252528,-10.925252525252528
25,3.125,-33.87878787878789,-33.41980350378789,-34.33777225378789,-10.084848484848488,-10.694223484848488,-9.475473484848488
26,3.25,-35.08686868686869,-34.72749368686869,-35.44624368686869,-9.244444444444447,-10.181944444444447,-8.306944444444447
27,3.375,-36.189898989899,-35.953570864899,-36.426227114899,-8.404040404040407,-9.388415404040407,-7.419665404040407
28,3.5,-37.187878787878795,-37.062878787878795,-37.312878787878795,-7.563636363636365,-8.313636363636366,-6.813636363636365
29,3.625,-38.08080808080809,-38.02807370580809,-38.13354245580809,-6.723232323232325,-7.145107323232325,-6.301357323232325
30,3.75,-38.86868686868688,-38.85306186868688,-38.88431186868688,-5.882828282828284,-6.070328282828284,-5.695328282828284
31,3.875,-39.55151515151516,-39.54956202651516,-39.55346827651516,-5.042424242424244,-5.089299242424244,-4.995549242424244
32,4.0,-40.12929292929294,-40.12929292929294,-40.12929292929294,-4.202020202020203,-4.202020202020203,-4.202020202020203
33,4.125,-40.602020202020206,-40.602020202020206,-40.602020202020206,-3.3616161616161624,-3.3616161616161624,-3.3616161616161624
34,4.25,-40.96969696969698,-40.96969696969698,-40.96969696969698,-2.521212121212122,-2.521212121212122,-2.521212121212122
35,4.375,-41.235241301907976,-41.235241301907976,-41.235241301907976,-1.7508417508417513,-1.7508417508417513,-1.7508417508417513
36,4.5,-41.41324354657689,-41.41324354657689,-41.41324354657689,-1.1205387205387207,-1.1205387205387207,-1.1205387205387207
37,4.625,-41.52121212121213,-41.52121212121213,-41.52121212121213,-0.6303030303030305,-0.6303030303030305,-0.6303030303030305
38,4.75,-41.57665544332212,-41.57665544332212,-41.57665544332212,-0.2801346801346802,-0.2801346801346802,-0.2801346801346802
39,4.875,-41.59708193041527,-41.59708193041527,-41.59708193041527,-0.07003367003367005,-0.07003367003367005,-0.07003367003367005
40,5.0,-41.60000000000001,-41.60000000000001,-41.60000000000001,0.0,0.0,0.0
