tick,time_ms,position_um,velocity_mm_s,A_residual_mA,B_residual_mA,D_residual_mA,C_unmeasured_residual_mA
0,0.0,0,0.0,0,0,0,0
1,0.125,-0.011672278338945007,-0.2801346801346802,0.0,0.0,0.0,0.0
2,0.25,-0.09337822671156006,-1.1205387205387207,0.0,0.0,0.0,0.0
3,0.375,-0.3151515151515152,-2.521212121212122,0.0,0.0,0.0,0.0
4,0.5,-0.7353535353535355,-4.202020202020203,0.0,0.0,0.0,0.0
5,0.625,-1.3656565656565658,-5.882828282828284,0.0,0.0,0.0,0.0
6,0.75,-2.206060606060607,-7.563636363636365,0.0,0.0,0.0,0.0
7,0.875,-3.256565656565657,-9.244444444444447,0.0,0.0,0.0,0.0
8,1.0,-4.517171717171718,-10.925252525252528,0.0,0.0,0.0,0.0
9,1.125,-5.987878787878789,-12.606060606060609,0.0,0.0,0.0,0.0
10,1.25,-7.657014590347925,-14.00673400673401,0.0,0.0,0.0,0.0
11,1.375,-9.4662177328844,-14.847138047138051,0.0,0.0,0.0,0.0
12,1.5,-11.345454545454547,-15.12727272727273,0.0,0.0,0.0,0.0
13,1.625,-13.23636363636364,-15.12727272727273,0.0,0.0,0.0,0.0
14,1.75,-15.12727272727273,-15.12727272727273,0.0,0.0,0.0,0.0
15,1.875,-17.018181818181823,-15.12727272727273,0.0,0.0,0.0,0.0
16,2.0,-18.909090909090914,-15.12727272727273,0.0,0.0,0.0,0.0
17,2.125,-20.797081930415267,-15.05723905723906,0.2574920654296875,0.6437301635742188,0.2574920654296875,0.6437301635742186
18,2.25,-22.667564534231207,-14.847138047138051,1.6748046875,4.18701171875,1.6748046875,4.18701171875
19,2.375,-24.503030303030307,-14.4969696969697,4.5256805419921875,11.314201354980469,4.5256805419921875,11.314201354980469
20,2.5,-26.285970819304158,-14.00673400673401,8.4375,21.09375,8.4375,21.093749999999996
21,2.625,-27.99887766554434,-13.37643097643098,12.693405151367188,31.73351287841797,12.693405151367188,31.73351287841797
22,2.75,-29.624242424242432,-12.606060606060609,16.4794921875,41.19873046875,16.4794921875,41.19873046874999
23,2.875,-31.147474747474753,-11.765656565656569,19.07707214355469,47.69268035888672,19.07707214355469,47.69268035888671
24,3.0,-32.565656565656575,-10.925252525252528,20.0,50.0,20.0,49.999999999999986
25,3.125,-33.87878787878789,-10.084848484848488,19.07707214355469,47.69268035888672,18.69083404541016,47.30644226074218
26,3.25,-35.08686868686869,-9.244444444444447,16.4794921875,41.19873046875,13.96728515625,38.68652343749999
27,3.375,-36.189898989899,-8.404040404040407,12.693405151367188,31.73351287841797,5.904884338378906,24.944992065429688
28,3.5,-37.187878787878795,-7.563636363636365,8.4375,21.09375,-4.218749999999998,8.437499999999998
29,3.625,-38.08080808080809,-6.723232323232325,4.5256805419921875,11.314201354980469,-14.514427185058594,-7.725906372070313
30,3.75,-38.86868686868688,-5.882828282828284,1.6748046875,4.18701171875,-23.04443359375,-20.5322265625
31,3.875,-39.55151515151516,-5.042424242424244,0.2574920654296875,0.6437301635742188,-28.358116149902344,-27.971878051757812
32,4.0,-40.12929292929294,-4.202020202020203,0.0,0.0,-30.0,-30.0
33,4.125,-40.602020202020206,-3.3616161616161624,0.0,0.0,-28.61560821533203,-28.61560821533203
34,4.25,-40.96969696969698,-2.521212121212122,0.0,0.0,-24.71923828125,-24.71923828125
35,4.375,-41.235241301907976,-1.7508417508417513,0.0,0.0,-19.04010772705078,-19.04010772705078
36,4.5,-41.41324354657689,-1.1205387205387207,0.0,0.0,-12.656249999999998,-12.656249999999998
37,4.625,-41.52121212121213,-0.6303030303030305,0.0,0.0,-6.788520812988281,-6.788520812988281
38,4.75,-41.57665544332212,-0.2801346801346802,0.0,0.0,-2.51220703125,-2.51220703125
39,4.875,-41.59708193041527,-0.07003367003367005,0.0,0.0,-0.38623809814453125,-0.38623809814453125
40,5.0,-41.60000000000001,0.0,0.0,0.0,0.0,0.0
